Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T1,High,High,2,170,T1_2_170,214_7,214,2693.59,1,0.000126819,0.036132885,650.0058,623.7676289,0.007133723,0.173190311,0.0011
T1,High,High,2,176,T1_2_176,212_7,212,3131,1,0.004407789,7.396687848,648.111,582.2727037,0.25178222,0.727815076,0.0048
T1,High,High,2,181,T1_2_181,210_3,210,3161.3,2,0.004037894,12.56800137,647.8999355,484.2066069,0.147306853,0.551614006,0.003
T1,High,High,3,212,T1_3_212,154_5,154,2992,2,0.000565467,1.602339938,649.341871,549.926846,0.03134597,1.307027704,0.0108
T1,High,High,3,239,T1_3_239,199_1,199,3502,2,0.004263292,8.558533852,646.0014667,536.2323508,0.164245051,1.415773441,0.014
T1,High,High,3,271,T1_3_271,253_9,253,3460,2,0.002618116,12.30877061,646.7401613,482.9487298,0.136510699,0.925951673,0.0069
T1,High,High,3,274,T1_3_274,269_15,269,2800,1,0.003669842,11.1940467,646.6524516,539.3880316,0.203450745,0.982009132,0.0126
T1,High,High,3,279,T1_3_279,185_2,185,3411,2,0.002866925,14.30675665,649.9551935,500.3908392,0.17365512,0.82258229,0.0063
T1,High,High,4,302,T1_4_302,211_13A,211,3121.58,1,0.001447557,6.39763297,648.1267,491.4820924,0.07431774,1.017779813,0.0099
T1,High,High,4,318,T1_4_318,269_15,269,2800,1,0.001364092,8.018238094,646.8214839,459.2609809,0.075417187,1.3239453,0.0136
T1,High,High,4,324,T1_4_324,199_1,199,3502,1,0.001391393,7.524954009,648.6324667,482.2477643,0.08056792,0.657850778,0.0057
T1,High,High,4,326,T1_4_326,49_2,49,2935,1,0.000361909,6.317730867,648.3530333,137.2145292,0.02026182,1.015414217,0.0071
T1,High,High,4,342,T1_4_342,185_2,185,3411,2,0.002320356,9.863636207,647.9755484,410.0825824,0.075151343,0.707098188,0.0055
T1,High,High,4,353,T1_4_353,214_7,214,2693.59,2,0.002041265,8.929494298,648.3450968,405.6193011,0.066385926,0.643155408,0.0041
T1,High,High,4,356,T1_4_356,303_8,303,3570,1,0.004137235,9.32315622,646.7844839,563.5275539,0.232560477,1.084805037,0.0069
T1,High,High,4,360,T1_4_360,151_3,151,2975,1,0.000798854,2.728069527,649.439871,533.59973,0.044402039,0.667313163,0.0058
T1,High,High,4,365,T1_4_365,283_22,283,2890,1,0.001420519,5.274463458,648.1227,523.4097417,0.078978988,1.194912784,0.0095
T1,High,High,4,368,T1_4_368,188_2,188,3126,1,0.000607,6.007041182,648.7754194,344.7022717,0.033304693,0.774983629,0.007
T1,High,High,4,380,T1_4_380,188_2,188,3126,1,0.001634861,7.125580107,647.9510968,428.8717954,0.058810299,1.010467971,0.0128
T1,High,High,5,393,T1_5_393,107_4,107,3091,1,0.001174618,10.81924853,647.9380667,371.1164104,0.066428021,0.717779213,0.0077
T1,High,High,5,396,T1_5_396,250_16,250,3133,2,0.001637257,7.852995806,648.4710667,479.8558534,0.083977317,0.683872335,0.0053
T1,High,High,5,405,T1_5_405,66_4,66,2940,1,0.001842407,10.37859228,647.3537419,473.3155764,0.106008914,0.905234785,0.0071
T1,High,High,5,433,T1_5_433,253_9,253,3460,2,0.000573927,6.876351713,648.2876129,286.6911637,0.031713371,0.953550294,0.0073
T1,High,High,5,441,T1_5_441,188_2,188,3126,1,0.002588622,8.457223062,648.1246667,533.2178796,0.140995437,0.730682465,0.006
T1,High,High,5,443,T1_5_443,211_13A,211,3121.58,1,0.000204946,2.925677805,649.3293,228.894061,0.011489459,0.859213188,0.0059
T1,High,High,5,450,T1_5_450,49_2,49,2935,1,0.000657932,5.979960828,648.924129,370.839573,0.036468445,0.673621419,0.0053
T1,High,High,5,454,T1_5_454,250_16,250,3133,2,0.000619781,8.037555881,648.6571333,265.6465689,0.034880123,0.646811329,0.0049
T1,High,High,5,475,T1_5_475,283_22,283,2890,1,0.001112325,8.531472378,648.1285806,406.9831921,0.060864544,0.821148596,0.0056
T1,High,High,5,488,T1_5_488,213_1,213,2789.81,1,0.001261906,11.40326334,647.3877,375.3923885,0.071375534,0.855628951,0.0065
T1,High,High,6,491,T1_6_491,211_13A,211,3121.58,1,0.000904106,3.401476432,649.4954667,523.5328121,0.050190218,0.520431148,0.003
T1,High,High,6,492,T1_6_492,303_8,303,3570,1,0.006636874,5.016079066,646.8670333,590.67635,0.266933675,1.356561853,0.0086
T1,High,High,6,496,T1_6_496,98_7,98,3011,1,0.00134493,8.390383357,648.4409667,455.705471,0.076391823,0.677779133,0.0084
T1,High,High,6,502,T1_6_502,98_7,98,3011,1,0.000320368,3.003410231,649.7668065,368.0668439,0.018016974,0.313764068,0.0019
T1,High,High,6,518,T1_6_518,199_1,199,3502,2,0.000847075,5.756245851,648.7647742,439.8180952,0.047833918,0.770037382,0.0072
